HW,kernel,stride,Cin,FLOPs,latency
27,5,2,256,24314368,6.667
27,5,2,512,92931072,13.444
27,5,2,1024,363071488,27.226
27,5,4,3,8232,0.12
27,5,4,6,18228,0.194
27,5,4,8,25872,0.239
27,5,4,16,64288,0.4
27,5,4,32,178752,0.766
27,5,4,64,558208,1.454
27,5,4,128,1919232,2.81
27,5,4,256,7049728,5.611
27,5,4,512,26944512,11.251
27,5,4,1024,105269248,23.059
27,7,1,3,179712,0.174
27,7,1,6,380160,0.265
27,7,1,8,525312,0.34
27,7,1,16,1198080,0.653
27,7,1,32,2985984,1.229
27,7,1,64,8331264,2.29
27,7,1,128,26099712,4.591
27,7,1,256,89948160,8.969
27,7,1,512,330891264,18.02
27,7,1,1024,1265762304,36.735
27,7,2,3,48750,0.141
27,7,2,6,103125,0.237
27,7,2,8,142500,0.317
27,7,2,16,325000,0.56
27,7,2,32,810000,1.09
27,7,2,64,2260000,2.102
27,7,2,128,7080000,4.133
27,7,2,256,24400000,8.168
27,7,2,512,89760000,16.242
27,7,2,1024,343360000,32.943
27,7,4,3,14215.5,0.113
27,7,4,6,30071.25,0.207
27,7,4,8,41553,0.267
27,7,4,16,94770,0.437
27,7,4,32,236196,0.822
